"fund_code","stock","stock_foreign","bond","bond_foreign","investment","etc"
K55101AZ6913,97.81,0.0,0.0,0.0,0.26,1.93
K55101AZ7044,36.19,0.0,30.63,0.0,7.18,26.0
K55101AZ9057,0.0,0.0,0.0,94.73,0.0,5.27
K55101AZ9420,0.0,0.0,0.0,88.28,0.0,11.72
K55101AZ9438,0.0,0.0,0.0,88.28,0.0,11.72
K55101AZ9453,0.0,0.0,0.0,88.28,0.0,11.72
K55101AZ9503,0.0,0.0,0.0,88.28,0.0,11.72
K55101B13881,86.23,0.0,0.0,0.0,1.57,12.2
K55101B19631,36.19,0.0,30.63,0.0,7.18,26.0
K55101B20308,28.61,0.0,58.89,0.0,0.0,12.5
K55101B26297,0.0,0.0,0.0,0.0,33.53,66.47
K55101B38276,94.11,0.0,0.0,0.0,3.75,2.14
K55101B38284,94.11,0.0,0.0,0.0,3.75,2.14
K55101B38292,94.11,0.0,0.0,0.0,3.75,2.14
K55101B38300,94.11,0.0,0.0,0.0,3.75,2.14
K55101B40934,0.0,0.0,86.42,0.0,3.83,9.75
K55101B41155,89.48,0.0,0.0,0.0,3.78,6.74
K55101B41163,89.48,0.0,0.0,0.0,3.78,6.74
K55101B41221,83.85,0.0,0.0,0.0,3.34,12.81
K55101B46220,0.0,0.0,0.0,88.8,0.0,11.2
K55101B46238,0.0,0.0,0.0,88.8,0.0,11.2
K55101B47624,0.0,0.0,0.0,88.28,0.0,11.72
K55101B47632,0.0,0.0,0.0,88.28,0.0,11.72
K55101B47640,0.0,0.0,0.0,88.28,0.0,11.72
K55101B54539,97.94,0.0,0.0,0.0,0.0,2.06
K55101B60809,0.0,0.0,0.0,88.28,0.0,11.72
K55101B60833,0.0,0.0,0.0,88.28,0.0,11.72
K55101B64918,28.61,0.0,58.89,0.0,0.0,12.5
K55101B64926,28.61,0.0,58.89,0.0,0.0,12.5
K55101B64942,28.61,0.0,58.89,0.0,0.0,12.5
K55101B79148,0.0,93.9,0.0,0.0,2.67,3.43
K55101B79155,0.0,92.42,0.0,0.0,2.62,4.96
K55101B79163,0.0,92.42,0.0,0.0,2.62,4.96
K55101B79171,0.0,92.42,0.0,0.0,2.62,4.96
K55101B79189,0.0,92.42,0.0,0.0,2.62,4.96
K55101B79197,0.0,92.42,0.0,0.0,2.62,4.96
K55101B79205,0.0,92.42,0.0,0.0,2.62,4.96
K55101B79213,0.0,92.42,0.0,0.0,2.62,4.96
K55101B79221,0.0,92.42,0.0,0.0,2.62,4.96
K55101B79239,0.0,92.42,0.0,0.0,2.62,4.96
K55101B79247,0.0,92.42,0.0,0.0,2.62,4.96
K55101B79254,0.0,92.42,0.0,0.0,2.62,4.96
K55101B79262,0.0,89.5,0.0,0.0,2.54,7.96
K55101B79270,0.0,89.5,0.0,0.0,2.54,7.96
K55101B79288,0.0,89.5,0.0,0.0,2.54,7.96
K55101B79296,0.0,89.5,0.0,0.0,2.54,7.96
K55101B79304,0.0,89.5,0.0,0.0,2.54,7.96
K55101B79312,0.0,89.5,0.0,0.0,2.54,7.96
K55101B79320,0.0,89.5,0.0,0.0,2.54,7.96
K55101B79338,0.0,89.5,0.0,0.0,2.54,7.96
K55101B79353,0.0,89.5,0.0,0.0,2.54,7.96
K55101B79361,0.0,89.5,0.0,0.0,2.54,7.96
K55101B87885,2.53,86.74,0.0,0.0,3.24,7.49
K55101B87893,2.53,86.74,0.0,0.0,3.24,7.49
K55101B87901,2.53,86.74,0.0,0.0,3.24,7.49
K55101B87927,2.53,86.74,0.0,0.0,3.24,7.49
K55101B87950,2.53,86.74,0.0,0.0,3.24,7.49
K55101B90814,90.31,0.0,0.0,0.0,1.65,8.04
K55101B90822,90.31,0.0,0.0,0.0,1.65,8.04
K55101B90830,90.31,0.0,0.0,0.0,1.65,8.04
K55101B90848,90.31,0.0,0.0,0.0,1.65,8.04
K55101B91408,87.09,0.0,0.0,0.0,3.97,8.94
K55101B97199,0.0,64.82,0.0,0.0,31.46,3.72
K55101BA8230,0.0,86.7,0.0,0.0,0.0,13.3
K55101BA8511,94.52,0.0,0.0,0.0,0.0,5.48
K55101BA9675,0.0,0.0,99.53,0.0,1.39,0.0
K55101BA9683,0.0,0.0,99.53,0.0,1.39,0.0
K55101BA9709,0.0,0.0,99.53,0.0,1.39,0.0
K55101BA9717,0.0,0.0,99.53,0.0,1.39,0.0
