fund_code,fund_name,hashtag,std_price,set_date,fund_type,fund_type_detail,set_amount,company_name,risk_grade,risk_grade_txt,drv_nav,bond,bond_foreign,stock,stock_foreign,investment,etc,return_1m,return_3m,return_6m,return_1y,return_3y,return_5y,return_idx,return_ytd,arima_price,arima_update,arima_percent,stock_ratio,bond_ratio
K55101AZ9057,한국투자달러표시중국채권증권모투자신탁(채권),#해외채권형#모펀드,1009.83,2015-02-25,아시아퍼시픽채권,해외채권형,39,한국투자신탁운용,5,낮은 위험,39.55,0,95.55,0,0.00,0,4.45,0.48,0.98,1.11,2.77,1.72,6.32,24.92,0.79,1013.5057894736846,2024-06-20,0.24,0,100
K55101AZ9420,한국투자달러표시중국채권증권자투자신탁(채권),#해외채권형#중국,1012.6,2015-02-25,아시아퍼시픽채권,해외채권형,12,한국투자신탁운용,5,낮은 위험,12.04,0,88.37,0,0.00,0,11.63,0.46,0.96,1.13,2.77,2.1,6.5,24.62,0.83,1015.4673684210518,2024-06-20,0.17,0,100
K55101AZ9438,한국투자달러표시중국채권증권자투자신탁(채권)(A),#해외채권형#중국,990.53,2015-03-17,아시아퍼시픽채권,해외채권형,3,한국투자신탁운용,5,낮은 위험,12.03,0,88.37,0,0.00,0,11.63,0.42,0.82,0.86,2.22,0.45,3.64,18.57,0.57,993.434210526315,2024-06-20,0.18,0,100
K55101AZ9453,한국투자달러표시중국채권증권자투자신탁(채권)(C),#해외채권형#중국,962.43,2015-02-25,아시아퍼시픽채권,해외채권형,1,한국투자신탁운용,5,낮은 위험,12.03,0,88.37,0,0.00,0,11.63,0.35,0.62,0.46,1.4,-1.93,-0.42,9.99,0.2,964.2973684210526,2024-06-20,0.08,0,100
K55101AZ9503,한국투자달러표시중국채권증권자투자신탁(채권)(S),#해외채권형#S클래스#중국,1010.63,2015-03-19,아시아퍼시픽채권,해외채권형,0,한국투자신탁운용,5,낮은 위험,12.03,0,88.37,0,0.00,0,11.63,0.42,0.85,0.91,2.32,0.72,4.05,18.58,0.62,1013.7121052631583,2024-06-20,0.19,0,100
K55101B46220,한국투자퇴직연금달러표시중국채권증권자투자신탁(채권),#해외채권형#퇴직연금#중국,1006.08,2016-03-31,아시아퍼시픽채권,해외채권형,1,한국투자신탁운용,5,낮은 위험,1.19,0,89.35,0,0.00,0,10.65,0.46,0.97,1.13,2.78,2.05,6.52,17.55,0.82,1009.4389473684214,2024-06-20,0.22,0,100
K55101B46238,한국투자퇴직연금달러표시중국채권증권자투자신탁(채권)(C),#해외채권형#퇴직연금#중국,983.43,2016-03-31,아시아퍼시픽채권,해외채권형,1,한국투자신탁운용,5,낮은 위험,1.18,0,89.35,0,0.00,0,10.65,0.4,0.78,0.76,2.02,-0.19,2.64,10.65,0.48,986.0942105263152,2024-06-20,0.16,0,100
K55101B47624,한국투자달러표시중국채권증권자투자신탁(채권)(C-P),#해외채권형#연금저축#중국,978.84,2015-09-24,아시아퍼시픽채권,해외채권형,0,한국투자신탁운용,5,낮은 위험,12.03,0,88.37,0,0.00,0,11.63,0.38,0.72,0.66,1.81,-0.73,1.61,11.44,0.39,981.2321052631589,2024-06-20,0.13,0,100
K55101B47632,한국투자달러표시중국채권증권자투자신탁(채권)(C-Pe),#해외채권형#연금저축#중국,984.19,2015-10-02,아시아퍼시픽채권,해외채권형,0,한국투자신탁운용,5,낮은 위험,12.03,0,88.37,0,0.00,0,11.63,0.4,0.79,0.78,2.07,0.01,2.89,17.22,0.51,986.9026315789486,2024-06-20,0.16,0,100
K55101B47640,한국투자달러표시중국채권증권자투자신탁(채권)(S-P),#해외채권형#연금저축#S클래스#중국,996.9,2015-07-14,아시아퍼시픽채권,해외채권형,0,한국투자신탁운용,5,낮은 위험,12.03,0,88.37,0,0.00,0,11.63,0.42,0.84,0.89,2.28,0.64,3.97,20.44,0.6,999.916315789475,2024-06-20,0.19,0,100
K55101B60809,한국투자달러표시중국채권증권자투자신탁(채권)(A-e),#해외채권형#중국,986.66,2016-10-26,아시아퍼시픽채권,해외채권형,1,한국투자신탁운용,5,낮은 위험,12.03,0,88.37,0,0.00,0,11.63,0.42,0.84,0.88,2.27,0.61,3.91,8.72,0.6,989.6094736842117,2024-06-20,0.19,0,100
K55101B60833,한국투자달러표시중국채권증권자투자신탁(채권)(C-e),#해외채권형#중국,973.51,2016-10-26,아시아퍼시픽채권,해외채권형,7,한국투자신탁운용,5,낮은 위험,12.03,0,88.37,0,0.00,0,11.63,0.39,0.73,0.68,1.86,-0.6,1.83,5.46,0.41,975.9368421052621,2024-06-20,0.14,0,100
K55101B79148,한국투자베트남그로스증권모투자신탁(주식),#해외주식형#모펀드,2398.24,2016-02-17,신흥아시아주식,해외주식형,2993,한국투자신탁운용,2,높은 위험,7177.79,0,0,0,92.03,2.76,5.21,3.56,4.16,24.25,29.69,27.18,92.84,171.69,21.37,2512.593944379532,2024-06-20,4.75,100,0
K55101B79262,한국투자베트남그로스증권자투자신탁UH(주식),#해외주식형#베트남,2329.23,2016-02-17,베트남주식,해외주식형,531,한국투자신탁운용,2,높은 위험,1236.13,0,0,0,88.17,2.64,9.19,3.39,3.99,23.14,28.43,25.87,87.74,163.14,20.41,2435.0388706169806,2024-06-20,4.52,100,0
K55101B79270,한국투자베트남그로스증권자투자신탁UH(주식)(A),#해외주식형#베트남,2165.59,2016-02-17,베트남주식,해외주식형,219,한국투자신탁운용,2,높은 위험,1234.43,0,0,0,88.17,2.64,9.19,3.24,3.51,22.06,26.17,19.09,71.37,126.07,19.43,2268.649463760032,2024-06-20,4.74,100,0
K55101B79288,한국투자베트남그로스증권자투자신탁UH(주식)(A-e),#해외주식형#베트남,2261.05,2016-03-03,베트남주식,해외주식형,113,한국투자신탁운용,2,높은 위험,1234.43,0,0,0,88.17,2.64,9.19,3.27,3.63,22.32,26.72,20.72,75.26,137.39,19.67,2369.690124302409,2024-06-20,4.79,100,0
K55101B79312,한국투자베트남그로스증권자투자신탁UH(주식)(C3),#해외주식형#베트남,1471.81,2016-03-02,베트남주식,해외주식형,2,한국투자신탁운용,2,높은 위험,1234.43,0,0,0,88.17,2.64,9.19,3.25,3.54,22.12,26.29,19.45,72.24,128.75,19.49,1541.992468065308,2024-06-20,4.75,100,0
K55101B79320,한국투자베트남그로스증권자투자신탁UH(주식)(C4),#해외주식형#베트남,1726.79,2016-03-02,베트남주식,해외주식형,96,한국투자신탁운용,2,높은 위험,1234.43,0,0,0,88.17,2.64,9.19,3.29,3.67,22.41,26.91,21.27,76.58,134.85,19.75,1808.8074889770116,2024-06-20,4.73,100,0
