fund_code,name,std_price,set_date,type,type_detail,set_amount,risk_grade,risk_grade_txt,company_name
K55363BF6877,트러스톤파운트로보자산배분증권자투자신탁[주식혼합-재간접형],1391.25,20170418,해외자산배분,해외혼합형,12,4,보통 위험,트러스톤자산운용
K55368DQ9889,하이DNDN에버그린EMP증권투자신탁(혼합-재간접형)CF,1044.24,20220214,해외자산배분,해외혼합형,2,3,다소 높은 위험,하이자산운용
KR5217AZ1115,우리프랭클린K2멀티전략증권자투자신탁(주식혼합-재간접형)ClassA,973.47,20150303,해외자산배분,해외혼합형,0,5,낮은 위험,우리자산운용
KR5235AR7839,피델리티월지급식글로벌멀티에셋인컴증권자투자신탁(채권혼합-재간접형)종류C,791.81,20170713,해외자산배분,해외혼합형,1,4,보통 위험,피델리티자산운용
K55301CB2619,미래에셋전략배분TDF솔루션혼합자산자투자신탁종류A,1205.32,20190218,해외자산배분,해외혼합형,19,4,보통 위험,미래에셋자산운용
K55301D04767,미래에셋합리적인AI글로벌모멘텀혼합자산자투자신탁(재간접형),1246.48,20200130,해외자산배분,해외혼합형,808,4,보통 위험,미래에셋자산운용
K55223DE5662,KB타겟리턴성장형OCIO증권투자신탁(혼합-재간접형)(운용),1073.03,20210125,해외자산배분,해외혼합형,"1,463",3,다소 높은 위험,케이비자산운용
K55105CX3494,삼성글로벌멀티인컴EMP혼합자산자투자신탁UH[재간접형]_Cp(퇴직연금),1088.90,20191209,해외자산배분,해외혼합형,0,2,높은 위험,삼성자산운용
K55232E30858,NH-AmundiSignatureOCIO혼합형증권자투자신탁(UH)[혼합-재간접형]ClassA,1174.91,20230613,해외자산배분,해외혼합형,72,3,다소 높은 위험,엔에이치아문디자산운용
K55107DT5625,우리다같이OCIO타겟리턴증권자투자신탁(채권혼합-재간접형)ClassC-F,1046.81,20220509,해외자산배분,해외혼합형,104,4,보통 위험,우리자산운용
K55206CE2406,키움글로벌얼터너티브증권투자신탁[혼합-재간접형]C-F,182.07,20181005,해외자산배분,해외혼합형,1,2,높은 위험,키움투자자산운용
K55206E15184,키움나스닥100ETFSmartInvestor분할매수증권투자신탁[혼합-재간접형]ClassC-e,1162.32,20230411,해외자산배분,해외혼합형,16,2,높은 위험,키움투자자산운용
K55213BH0011,한화멀티에셋크루즈5.0증권자투자신탁(채권혼합-재간접형)S-P(연금저축),1081.80,20160905,해외자산배분,해외혼합형,0,4,보통 위험,한화자산운용
K55210DY9764,신한밸런스프로적극형증권투자신탁[주식혼합-재간접형](종류C-s),1287.98,20221216,해외자산배분,해외혼합형,47,3,다소 높은 위험,신한자산운용
KR5105AU4150,삼성클래식미국코어밸런스연금증권자투자신탁H [주식혼합-재간접형]_Ce,1447.56,20140812,해외자산배분,해외혼합형,2,4,보통 위험,삼성자산운용
K55206CZ2955,키움불리오글로벌멀티에셋EMP증권자투자신탁(UH)[혼합-재간접형]ClassS-P,1164.05,20200224,해외자산배분,해외혼합형,51,2,높은 위험,키움투자자산운용
K55105CA8615,삼성평생소득TIF60증권자투자신탁H[주식혼합-재간접형]_C-P,1195.03,20180706,해외자산배분,해외혼합형,0,3,다소 높은 위험,삼성자산운용
K55223E14760,KBDWS멀티에셋와이즈리턴증권자투자신탁(혼합-재간접형)(H)C,1063.12,20230425,해외자산배분,해외혼합형,0,3,다소 높은 위험,케이비자산운용
K55306CV9946,다올글로벌멀티에셋인컴EMP증권자투자신탁[혼합-재간접형](공)종류Ce,1193.48,20191023,해외자산배분,해외혼합형,148,4,보통 위험,다올자산운용
K55210D07300,신한AI자산배분증권투자신탁(H)[주식혼합-재간접형](종류C-pe),1010.09,20200206,해외자산배분,해외혼합형,2,3,다소 높은 위험,신한자산운용
K55368DQ9954,하이DNDN에버그린EMP증권투자신탁(혼합-재간접형)S,1015.01,20220322,해외자산배분,해외혼합형,0,3,다소 높은 위험,하이자산운용
K55232E31047,NH-AmundiSignatureOCIO안정형증권자투자신탁(H)[혼합-재간접형]ClassCe,1063.06,20230612,해외자산배분,해외혼합형,9,4,보통 위험,엔에이치아문디자산운용
K55234CJ0922,IBK플레인바닐라EMP증권투자신탁[혼합-재간접형]종류Cf,1384.67,20190114,해외자산배분,해외혼합형,2,3,다소 높은 위험,아이비케이자산운용
K55105CC7235,삼성EMP리얼리턴플러스증권자투자신탁UH[주식혼합-재간접형]C-Pe,1652.01,20181212,해외자산배분,해외혼합형,3,2,높은 위험,삼성자산운용
K55301CB2700,미래에셋전략배분TDF솔루션혼합자산자투자신탁종류C-P,1201.33,20180702,해외자산배분,해외혼합형,817,4,보통 위험,미래에셋자산운용
