code,name,std_price,set_date,type,type_detail,set_amount,risk_grade,risk_grade_txt,company_name
KR5225578230,미래에셋TIGER반도체증권상장지수투자신탁(주식),46000.28,20060626,인덱스주식섹터,국내주식형,490,1,매우 높은 위험,미래에셋자산운용
K55226C77475,HDC알짜배당증권투자신탁(주식)종류C-Pe,1249.10,20220429,액티브주식배당,국내주식형,1,2,높은 위험,에이치디씨자산운용
KR5237733807,한화한국오퍼튜니티증권자투자신탁(주식)C1클래스,1105.79,20070906,액티브주식일반,국내주식형,0,2,높은 위험,한화자산운용
KR5213A72110,한화100세시대퇴직연금코리아레전드증권자투자신탁(주식),1027.45,20111201,액티브주식일반,국내주식형,16,2,높은 위험,한화자산운용
K55209BE0937,신영마라톤증권투자신탁(주식)C-Pe형,1302.59,20160831,액티브주식일반,국내주식형,77,2,높은 위험,신영자산운용
K55105D61051,삼성인덱스파워증권자투자신탁 1[주식-파생형](C-Pe),936.60,20210118,인덱스주식코스피200,국내주식형,2,2,높은 위험,삼성자산운용
KR5105AB7172,삼성퇴직연금코리아중소형증권자투자신탁 1[주식],1586.67,20121010,액티브주식중소형,국내주식형,166,2,높은 위험,삼성자산운용
KR5223A71723,KB중소형주포커스증권자투자신탁(주식)A-EClass,1146.53,20120305,액티브주식중소형,국내주식형,22,2,높은 위험,케이비자산운용
KR5102AP9787,하나인덱스장기소득공제전환형증권자투자신탁[주식]Class C-E,1374.34,20140407,인덱스주식코스피200,국내주식형,2,2,높은 위험,하나자산운용
KR5101AT5311,한국투자롱텀밸류증권자투자신탁 1(주식)(C-F),987.84,20160524,액티브주식일반,국내주식형,10,2,높은 위험,한국투자신탁운용
K55232D64495,NH-Amundi100년기업그린코리아증권투자신탁[주식]ClassCe,1229.16,20200903,액티브주식테마,국내주식형,458,2,높은 위험,엔에이치아문디자산운용
KR5209959125,신영프라임배당적립식증권투자신탁[주식](종류C4),1245.84,20050118,액티브주식배당,국내주식형,1,3,다소 높은 위험,신영자산운용
KR5301519132,미래에셋마에스트로증권모투자신탁(주식),1286.22,20051026,액티브주식일반,국내주식형,"2,061",2,높은 위험,미래에셋자산운용
K55454C64315,브레인코스닥벤처증권투자신탁(주식혼합)종류AE,3157.63,20180405,액티브주식중소형,국내주식형,122,2,높은 위험,브레인자산운용
K55223BD8537,KB스타코스닥150인덱스증권자투자신탁(주식-파생형)S클래스,1592.27,20160519,인덱스주식기타,국내주식형,3,2,높은 위험,케이비자산운용
KR5308AQ2213,파인아시아턴어라운드증권투자신탁 1(주식)ClassS,1342.76,20140422,액티브주식일반,국내주식형,0,3,다소 높은 위험,파인아시아자산운용
KR5219747916,신한TopsValue증권자투자신탁 1[주식](종류C-W),1121.40,20071015,액티브주식일반,국내주식형,80,2,높은 위험,신한자산운용
K55102C90513,하나그레이터코리아증권자투자신탁[주식]ClassA-E,1261.81,19990329,액티브주식일반,국내주식형,0,2,높은 위험,하나자산운용
KR5203764992,대신KOSPI200인덱스증권자투자신탁[주식-파생형](운용),1718.69,20020107,인덱스주식코스피200,국내주식형,"1,433",3,다소 높은 위험,대신자산운용
KR5104962414,브이아이코리아적극성장형증권자투자신탁[주식]C5,1383.84,20060126,액티브주식일반,국내주식형,21,1,매우 높은 위험,브이아이자산운용
KR5214781738,유진G-BEST증권자투자신탁(주식) Class C-E,1132.89,20080110,액티브주식일반,국내주식형,0,3,다소 높은 위험,유진자산운용
KR5223AQ1589,KB연금가치주증권전환형자투자신탁(주식) C 클래스,931.05,20100709,액티브주식일반,국내주식형,"1,871",2,높은 위험,케이비자산운용
KR5225A46670,미래에셋TIGER헬스케어증권상장지수투자신탁(주식),32381.57,20110715,인덱스주식섹터,국내주식형,"1,168",1,매우 높은 위험,미래에셋자산운용
K55232E01339,NH-Amundi장기성장대표기업증권모투자신탁[주식],1225.94,20230126,액티브주식일반,국내주식형,82,2,높은 위험,엔에이치아문디자산운용
KR5216958649,DB더클래식증권자투자신탁 1[주식]ClassC5,814.98,20051117,액티브주식일반,국내주식형,2,2,높은 위험,디비자산운용
KR5105907228,삼성코리아대표증권자투자신탁 1[주식](C3),1152.16,20070102,액티브주식일반,국내주식형,2,2,높은 위험,삼성액티브자산운용
KR5232142400,NH-Amundi아이사랑적립증권투자신탁 1[주식]ClassCe,1480.99,20090727,액티브주식일반,국내주식형,15,2,높은 위험,엔에이치아문디자산운용
KR5105546141,삼성우량주장기증권자투자신탁[주식](A),1316.82,20060213,액티브주식일반,국내주식형,85,2,높은 위험,삼성자산운용
K55105BM5592,삼성KODEX경기소비재증권상장지수투자신탁[주식],8382.56,20170327,인덱스주식섹터,국내주식형,62,1,매우 높은 위험,삼성자산운용
K55310CB7799,코레이트트리플스타증권투자신탁[주식]_ClassC-P2e,1057.78,20230817,액티브주식일반,국내주식형,0,2,높은 위험,코레이트자산운용
K55232DL2875,NH-AmundiHANAROFnK-게임증권상장지수투자신탁(주식),4140.86,20210729,인덱스주식기타,국내주식형,319,2,높은 위험,엔에이치아문디자산운용
KR5216AU4537,DB진주찾기고배당증권자투자신탁 1[주식]_운용,1030.93,20140808,액티브주식배당,국내주식형,137,3,다소 높은 위험,디비자산운용
KR5363A25822,트러스톤ESG제갈공명증권투자신탁[주식]Ce클래스,1269.30,20110502,액티브주식일반,국내주식형,19,2,높은 위험,트러스톤자산운용
K553N9BU5692,삼성ESG착한책임투자증권투자신탁 1[주식]_Cpe(퇴직),1317.90,20170822,액티브주식테마,국내주식형,7,2,높은 위험,삼성액티브자산운용
K55236C56338,한국밸류10년투자밸런스연금증권자투자신탁 1(주식)(C),1156.65,20180329,액티브주식일반,국내주식형,0,2,높은 위험,한국투자밸류자산운용
KR5234AH1835,IBK밸류코리아증권자투자신탁 5[주식]종류C4,1958.46,20130418,액티브주식일반,국내주식형,0,2,높은 위험,아이비케이자산운용
KR5240877344,BNK튼튼코리아증권투자신탁 1(주식),1817.07,20080910,액티브주식일반,국내주식형,116,2,높은 위험,비엔케이자산운용
K55105BQ9400,삼성KODEXMSCI모멘텀증권상장지수투자신탁(주식),13679.15,20170710,인덱스주식기타,국내주식형,60,2,높은 위험,삼성자산운용
