code,name,std_price,set_date,type,type_detail,set_amount,risk_grade,risk_grade_txt,company_name
K55309BQ0684,골든브릿지스마트단기채증권투자신탁 1[채권],949.65,20170622,일반채권,국내채권형,12,5,낮은 위험,골든브릿지자산운용
K55224BT5369,흥국퇴직연금멀티증권자투자신탁4[채권]C,1058.91,20140930,일반채권,국내채권형,201,5,낮은 위험,흥국자산운용
K55105B00244,삼성KODEX단기채권PLUS증권상장지수투자신탁[채권],110835.66,20150302,일반채권,국내채권형,"11,900",6,매우 낮은 위험,삼성자산운용
KR5105883411,삼성당신을위한신연금코리아증권전환형자투자신탁 1[채권],1057.95,20081121,일반채권,국내채권형,64,5,낮은 위험,삼성자산운용
K55207DZ3761,교보악사내일환매초단기우량채증권투자신탁[채권]ClassC-F,1037.71,20221221,초단기채권,국내채권형,"1,323",5,낮은 위험,교보악사자산운용
KR5104AO8366,브이아이굿초이스국공채증권투자신탁[채권]C-F,1023.79,20140224,일반채권,국내채권형,"1,186",5,낮은 위험,브이아이자산운용
K55232BE0656,NH-Amundi우량채권형증권자투자신탁[채권]ClassC-P1(연금저축),1019.21,20160802,일반채권,국내채권형,3,5,낮은 위험,엔에이치아문디자산운용
K55101BT7264,한국투자e단기채ESG증권투자신탁(채권)(C-Pe),1014.05,20171127,초단기채권,국내채권형,42,5,낮은 위험,한국투자신탁운용
KR5105805000,삼성우량증권자투자신탁 1[채권](C),1067.91,20000327,일반채권,국내채권형,4,5,낮은 위험,삼성자산운용
K55301BX4586,미래에셋솔로몬초단기국공채증권자투자신탁2(채권)종류C-P,1038.44,20171023,초단기채권,국내채권형,0,4,보통 위험,미래에셋자산운용
K55232B31001,NH-Amundi Allset단기국공채증권자투자신탁[채권]ClassS,1029.34,20170821,초단기채권,국내채권형,2,6,매우 낮은 위험,엔에이치아문디자산운용
K55301BU3011,미래에셋퇴직플랜증권자투자신탁 1(채권)종류C-P2e,984.46,20170817,일반채권,국내채권형,383,5,낮은 위험,미래에셋자산운용
KR5207599212,교보악사Tomorrow장기우량증권투자신탁K- 1(채권)ClassA,1076.63,20060905,일반채권,국내채권형,"5,900",5,낮은 위험,교보악사자산운용
K55244DW2407,웰컴베스트단기채증권투자신탁[채권형]S-P2,1042.53,20221125,초단기채권,국내채권형,0,5,낮은 위험,웰컴자산운용
K55102C56613,하나중기증권자투자신탁[채권]ClassA-E,831.17,20180329,일반채권,국내채권형,0,5,낮은 위험,하나자산운용
K55107EA9205,우리나라초단기채권증권투자신탁[채권]ClassC-Pe,1002.36,20240523,초단기채권,국내채권형,1,5,낮은 위험,우리자산운용
K55203E51970,대신국고10년분할매매목표전환형증권투자신탁 1[채권-재간접형]종류C-Re,1076.68,20230825,일반채권,국내채권형,7,5,낮은 위험,대신자산운용
K55214CD4817,유진챔피언중단기채증권자투자신탁(채권)ClassC-R,1066.80,20181011,일반채권,국내채권형,290,5,낮은 위험,유진자산운용
KR5365156359,KCGI코리아연금증권전환형자투자신탁 1[채권]종류A,1034.42,20150629,일반채권,국내채권형,1,5,낮은 위험,케이씨지아이자산운용
K55207DH2526,교보악사Tomorrow장기우량증권투자신탁S-1[채권](운용),1013.22,20210405,일반채권,국내채권형,"1,287",5,낮은 위험,교보악사자산운용
KR5365944796,KCGI코리아증권자투자신탁 1[채권]종류C,1004.52,20100930,일반채권,국내채권형,92,5,낮은 위험,케이씨지아이자산운용
K55223E22581,KBKBSTAR머니마켓액티브증권상장지수투자신탁(채권),52378.57,20230508,초단기채권,국내채권형,"15,631",5,낮은 위험,케이비자산운용
