code,name,std_price,set_date,type,type_detail,set_amount,risk_grade,risk_grade_txt,company_name
KR5363AG1219,트러스톤재형다이나믹코리아50증권자투자신탁[주식혼합],1120.86,20130306,채권혼합,국내혼합형,0,4,보통 위험,트러스톤자산운용
K55234BX7656,IBK퇴직연금인덱스40증권자투자신탁[채권혼합]종류C-e,1121.16,20171211,채권혼합,국내혼합형,17,5,낮은 위험,아이비케이자산운용
K55306C64275,다올블록딜공모주하이일드증권투자신탁[채권혼합]종류CP,1169.89,20180418,하이일드혼합,국내혼합형,60,5,낮은 위험,다올자산운용
KRM306319737,다올에버스타증권투자회사[채권혼합](운),1019.31,20010417,채권혼합,국내혼합형,15,4,보통 위험,다올자산운용
K55306CR0750,다올공모주하이일드증권투자신탁[채권혼합]종류CP,1102.80,20200619,하이일드혼합,국내혼합형,47,5,낮은 위험,다올자산운용
KR5223A95821,KB퇴직연금배당40증권자투자신탁(채권혼합)C,1108.95,20060102,채권혼합,국내혼합형,"7,552",4,보통 위험,케이비자산운용
K55229B47193,이스트스프링업종일등40증권자투자신탁[채권혼합]클래스S-P,1103.90,20150818,채권혼합,국내혼합형,0,4,보통 위험,이스트스프링자산운용
K55210DB5124,신한공모주&밴드트레이딩30증권자투자신탁3[채권혼합](종류C1),1034.45,20201105,채권혼합,국내혼합형,0,4,보통 위험,신한자산운용
KR5210544361,신한퇴직연금2015증권자투자신탁[채권혼합](종류),1079.11,20060203,채권혼합,국내혼합형,17,5,낮은 위험,신한자산운용
K55365B68548,KCGI코리아증권투자신탁[채권혼합]종류C-P2,1043.45,20180126,채권혼합,국내혼합형,0,5,낮은 위험,케이씨지아이자산운용
K55232D13732,NH-Amundi필승코리아30증권투자신탁[채권혼합]ClassC-P1(연금저축),1254.22,20200214,채권혼합,국내혼합형,13,4,보통 위험,엔에이치아문디자산운용
K55104CC7400,브이아이W공모주에디션증권투자신탁[채권혼합-재간접형]C,1138.19,20181122,채권혼합,국내혼합형,0,5,낮은 위험,브이아이자산운용
KR5363AH5607,트러스톤다이나믹코리아30연금저축증권자투자신탁[채권혼합](운용),1053.41,20130426,채권혼합,국내혼합형,19,5,낮은 위험,트러스톤자산운용
KR5223AE4272,KB밸류포커스30증권자투자신탁(채권혼합)C클래스,1070.72,20121218,채권혼합,국내혼합형,64,4,보통 위험,케이비자산운용
