code,name,std_price,set_date,type,type_detail,set_amount,risk_grade,risk_grade_txt,company_name
KR5101908139,한국투자월스트리트투자은행증권투자신탁 1(주식)(C2),1029.37,20070619,금융섹터,해외주식형,6,1,매우 높은 위험,한국투자신탁운용
K55213D17915,한화차이나셀렉트헬스케어증권자투자신탁(H)(주식),767.44,20200311,중국주식,해외주식형,10,2,높은 위험,한화자산운용
KR5101AQ4549,한국투자골드플랜차이나연금증권전환형자투자신탁 1(주식)(S-P),515.47,20140422,중국주식,해외주식형,1,2,높은 위험,한국투자신탁운용
K55105CG4980,삼성픽테프리미엄브랜드증권자투자신탁UH[주식-재간접형]_C-P,1628.23,20200122,글로벌주식,해외주식형,0,2,높은 위험,삼성자산운용
K55206CO3105,키움글로벌코어밸류증권자투자신탁2[주식]C-e,1426.20,20190517,기타국가주식,해외주식형,0,2,높은 위험,키움투자자산운용
K55105B00855,삼성클래식중국본토중소형FOCUS연금증권자투자신탁H[주식],906.45,20150302,중국주식,해외주식형,377,2,높은 위험,삼성자산운용
KR5229267996,이스트스프링차이나드래곤AShare증권자투자신탁(H)[주식]클래스C5,1002.79,20091007,중국주식,해외주식형,38,2,높은 위험,이스트스프링자산운용
K55223DD2249,KB스타미국나스닥100인덱스증권자투자신탁(주식-파생형)(H)S-퇴직,1485.86,20201209,북미주식,해외주식형,30,2,높은 위험,케이비자산운용
K55305CY9472,유경플레인바닐라글로벌자산배분증권자투자신탁(주식)ClassA-e,1766.74,20191209,글로벌주식,해외주식형,16,2,높은 위험,유경피에스지자산운용
K55105BX3313,삼성아세안플러스베트남증권자투자신탁UH[주식]Cpe(퇴직연금),1821.10,20170920,동남아주식,해외주식형,44,3,다소 높은 위험,삼성자산운용
K55366B28813,하이글로벌주식배당프리미엄증권투자신탁(주식-재간접형)(A-e),1632.24,20150629,글로벌주식,해외주식형,1,4,보통 위험,하이자산운용
K55210CC2766,신한골드증권투자신탁 1[주식](종류C-re),1237.01,20190905,소재섹터,해외주식형,89,2,높은 위험,신한자산운용
K55101DK5539,한국투자연금글로벌브랜드파워증권자투자신탁(주식)(S-R),1101.71,20210715,글로벌주식,해외주식형,0,2,높은 위험,한국투자신탁운용
K55301DT9209,미래에셋글로벌PE&VC증권투자신탁(주식)종류C-P2e,1303.60,20220725,글로벌주식,해외주식형,9,2,높은 위험,미래에셋자산운용
K55365D69385,KCGI이머징마켓증권자투자신탁[주식],1212.63,20201007,신흥국주식,해외주식형,58,2,높은 위험,케이씨지아이자산운용
K55307BB7720,유리베트남알파증권자투자신탁UH[주식]C&#47;C4,1765.47,20160411,베트남주식,해외주식형,11,3,다소 높은 위험,유리자산운용
K55232DA5525,NH-Amundi글로벌웰스&헬스증권자투자신탁(UH)[주식]ClassS-P2(퇴직연금),1205.77,20201214,글로벌주식,해외주식형,0,3,다소 높은 위험,엔에이치아문디자산운용
K55105CS5827,삼성미국그로스증권자투자신탁UH[주식-재간접형]_Cp(퇴직연금),2055.68,20191226,북미주식,해외주식형,0,2,높은 위험,삼성자산운용
K55105DR1529,삼성글로벌배당귀족ESG증권모투자신탁[주식],1090.66,20220318,글로벌주식,해외주식형,159,1,매우 높은 위험,삼성자산운용
KR5229992882,이스트스프링글로벌리더스증권자투자신탁[주식]클래스C3,1580.43,20060824,글로벌주식,해외주식형,0,3,다소 높은 위험,이스트스프링자산운용
K55223D07634,KB중국본토A주증권자투자신탁(주식)S-퇴직클래스,1057.14,20200130,중국주식,해외주식형,6,2,높은 위험,케이비자산운용
K55105BF5567,삼성픽테로보틱스증권자투자신탁UH[주식-재간접형]_C-P,3785.84,20160818,산업재섹터,해외주식형,15,2,높은 위험,삼성자산운용
K55232BA3084,NH-Amundi글로벌스마트베타증권자투자신탁(UH)[주식]Class C-P1(연금저축),1577.93,20160226,글로벌주식,해외주식형,0,2,높은 위험,엔에이치아문디자산운용
KR5232AG1176,NH-Amundi차이나포르테재형증권자투자신탁[주식],707.34,20130306,중국주식,해외주식형,6,1,매우 높은 위험,엔에이치아문디자산운용
KR5210766014,신한브라질증권모투자신탁[주식],687.14,20071129,중남미주식,해외주식형,168,1,매우 높은 위험,신한자산운용
KR5217AQ1199,우리프랭클린미국바이오헬스케어증권자투자신탁(주식-재간접형)ClassC-P,985.49,20140228,헬스케어섹터,해외주식형,80,1,매우 높은 위험,우리자산운용
K55366B44703,하이월드골드증권자투자신탁(주식-재간접형)(H)(S-p),1710.86,20150729,소재섹터,해외주식형,2,1,매우 높은 위험,하이자산운용
K55213BO0517,한화베트남레전드증권자투자신탁(주식)종류A-e,1929.57,20170607,베트남주식,해외주식형,1,2,높은 위험,한화자산운용
K55301BA7008,미래에셋글로벌솔루션증권자투자신탁(주식-재간접형),2527.04,20160229,글로벌주식,해외주식형,"1,225",3,다소 높은 위험,미래에셋자산운용
K55105BF8488,삼성아세안플러스베트남증권자투자신탁UH[주식]_S-P,2096.80,20160810,동남아주식,해외주식형,16,3,다소 높은 위험,삼성자산운용
K55210B19739,신한중국본토중소형주증권자투자신탁 1(UH)[주식](종류A-e),1304.79,20151106,중국주식,해외주식형,2,2,높은 위험,신한자산운용
K55301B51580,미래에셋미국블루칩인덱스증권투자신탁 1(주식)종류C-P2,1791.64,20161227,북미주식,해외주식형,13,2,높은 위험,미래에셋자산운용
K55207BS7946,교보악사파워글로벌인덱스증권자투자신탁 3(UH)[주식혼합-파생형]ClassA,1783.21,20170731,글로벌주식,해외주식형,0,2,높은 위험,교보악사자산운용
K55105DR1693,삼성글로벌배당귀족ESG증권자투자신탁H[주식]C-Pe,1041.56,20220506,글로벌주식,해외주식형,2,2,높은 위험,삼성자산운용
KR5230287108,슈로더유로증권자투자신탁(주식-재간접형)종류C2,1434.84,20070305,유럽주식,해외주식형,0,2,높은 위험,슈로더투자신탁운용
KR5364848303,에셋플러스글로벌리치투게더증권모투자신탁(주식),2932.52,20080707,글로벌주식,해외주식형,"5,684",2,높은 위험,에셋플러스자산운용
K55232DL6736,NH-Amundi글로벌AI산업증권자투자신탁(H)[주식-재간접형]ClassC-P1(연금저축),827.58,20211110,글로벌주식,해외주식형,1,2,높은 위험,엔에이치아문디자산운용
K55105B33542,삼성인도중소형FOCUS증권자투자신탁UH[주식]_A,3662.34,20151123,인도주식,해외주식형,11,2,높은 위험,삼성자산운용
K55213DB5915,한화그린히어로증권자투자신탁(주식)A-e,1449.62,20201016,글로벌주식,해외주식형,51,2,높은 위험,한화자산운용
K55223CO5588,KB글로벌ESG성장리더스증권자투자신탁(주식)(H)S-P,1071.83,20210311,글로벌주식,해외주식형,0,2,높은 위험,케이비자산운용
KR5225991706,미래에셋아세안셀렉트Q증권자투자신탁 1(주식)종류C4,1218.61,20071109,동남아주식,해외주식형,0,3,다소 높은 위험,미래에셋자산운용
K55235D99973,피델리티지속가능컨슈머브랜드증권모투자신탁(주식-재간접형),1151.93,20201020,멀티&#47;기타섹터,해외주식형,428,2,높은 위험,피델리티자산운용
KR5223702758,KB이머징유럽증권모투자신탁(주식),1028.83,20070614,신흥유럽주식,해외주식형,23,1,매우 높은 위험,케이비자산운용
K55105DB9181,삼성KODEX차이나항셍테크증권상장지수투자신탁[주식],5622.04,20201214,중국주식,해외주식형,"3,370",2,높은 위험,삼성자산운용
KR5105AR7513,삼성중국본토중소형FOCUS증권자투자신탁UH[주식]A,754.69,20140707,중국주식,해외주식형,20,2,높은 위험,삼성자산운용
KR5101903833,한국투자차이나증권투자신탁 1(주식-재간접형),849.14,20060320,중국주식,해외주식형,25,2,높은 위험,한국투자신탁운용
KR5301985028,미래에셋아시아퍼시픽소비성장증권자투자신탁 1(주식)종류C3,1611.92,20060601,소비재섹터,해외주식형,0,2,높은 위험,미래에셋자산운용
K55301D52584,미래에셋글로벌넥스트노멀증권투자신탁(주식),1384.53,20200528,글로벌주식,해외주식형,274,2,높은 위험,미래에셋자산운용
K55301D52709,미래에셋글로벌넥스트노멀증권투자신탁(주식)종류C4,1243.88,20210528,글로벌주식,해외주식형,67,2,높은 위험,미래에셋자산운용
