code,name,std_price,set_date,type,type_detail,set_amount,risk_grade,risk_grade_txt,company_name
K55105BG8727,삼성누버거버먼이머징국공채플러스증권자투자신탁H[채권-재간접형]Ae,1068.01,20160926,신흥국채권,해외채권형,10,4,보통 위험,삼성자산운용
KR5366A22160,하이월지급미국달러하이일드증권투자신탁(채권-재간접형)(H),1031.64,20110629,글로벌하이일드채권,해외채권형,58,4,보통 위험,하이자산운용
K55213CY2312,한화글로벌본드인컴증권자투자신탁(H)(채권-재간접형)A-e,988.69,20191216,글로벌채권,해외채권형,2,4,보통 위험,한화자산운용
K55105B93090,삼성달러표시단기채권증권자투자신탁UH[채권]A,1086.54,20160108,글로벌채권,해외채권형,2,4,보통 위험,삼성자산운용
K55301DI1530,미래에셋EMP글로벌채권증권모투자신탁(채권-재간접형),880.96,20210428,글로벌채권,해외채권형,"1,585",4,보통 위험,미래에셋자산운용
K55210B57903,신한연금저축POP펀드셀렉션증권자투자신탁[채권-재간접형],1038.80,20150805,글로벌채권,해외채권형,1,5,낮은 위험,신한자산운용
K55210E01376,신한MAN글로벌전략채권증권투자신탁(H)[채권-재간접형](종류A1),1048.82,20230614,글로벌채권,해외채권형,8,3,다소 높은 위험,신한자산운용
KR5237AU2064,한화월지급단기하이일드증권자투자신탁(채권)종류A-E,993.49,20230608,글로벌하이일드채권,해외채권형,0,5,낮은 위험,한화자산운용
K55105CU9452,삼성미국투자적격장기채권증권자투자신탁UH[채권]_Ce,1012.49,20190830,북미채권,해외채권형,3,4,보통 위험,삼성자산운용
K55301B95256,미래에셋글로벌다이나믹플러스증권자투자신탁 1(채권)종류C-Pe,958.57,20160121,글로벌채권,해외채권형,59,5,낮은 위험,미래에셋자산운용
K55105B66658,삼성달러표시단기채권증권자투자신탁H[채권],1031.69,20150910,글로벌채권,해외채권형,1,5,낮은 위험,삼성자산운용
K55101CP7622,한국투자다이나믹헤지인컴증권자투자신탁(채권-재간접형)(A-e),908.74,20200115,글로벌채권,해외채권형,22,4,보통 위험,한국투자신탁운용
K55205BU8991,미래에셋삼바브라질연금저축증권자투자신탁[채권]종류Ae,1141.24,20170928,중남미채권,해외채권형,1,4,보통 위험,미래에셋자산운용
KR5370A96125,AB숏듀레이션하이일드증권투자신탁(채권-재간접형)종류I,1030.84,20161214,글로벌하이일드채권,해외채권형,25,4,보통 위험,얼라이언스번스틴자산운용
K55301CM1154,미래에셋달러우량중장기채권증권자투자신탁(UH)(채권)종류C-Pe,1122.28,20190503,북미채권,해외채권형,9,4,보통 위험,미래에셋자산운용
KR5102A52661,하나글로벌이머징국공채증권자투자신탁[채권-재간접형]ClassC,907.91,20120330,신흥국채권,해외채권형,0,4,보통 위험,하나자산운용
KR5366AY7229,하이차이나채권증권자투자신탁(채권-재간접형),1064.83,20150115,아시아퍼시픽채권,해외채권형,22,4,보통 위험,하이자산운용
K55206DR3580,키움PIMCO아시아Strategic채권증권자투자신탁(H)[채권-재간접형]ClassA,1008.08,20220425,아시아퍼시픽채권,해외채권형,34,4,보통 위험,키움투자자산운용
K55210D15188,신한이머징단기채권증권자투자신탁(H)[채권-재간접형](종류S-R),857.25,20200303,글로벌하이일드채권,해외채권형,1,2,높은 위험,신한자산운용
K55210CE4844,신한H2O글로벌본드증권투자신탁(H)[채권혼합-파생재간접형](종류A-e),1177.94,20181025,글로벌채권,해외채권형,4,4,보통 위험,신한자산운용
K55102CD1685,하나PIMCO글로벌인컴혼합자산자투자신탁(UH)[재간접형]ClassA-E,1363.60,20190408,글로벌채권,해외채권형,3,3,다소 높은 위험,하나자산운용
KR5217A48392,우리템플턴월지급글로벌증권자투자신탁(채권-재간접형),799.19,20110725,글로벌채권,해외채권형,14,4,보통 위험,우리자산운용
