stock_code,name,market_type,region
000020,동화약품,KOSPI,Korea
000040,KR모터스,KOSPI,Korea
000050,경방,KOSPI,Korea
000070,삼양홀딩스,KOSPI,Korea
000080,하이트진로,KOSPI,Korea
000100,유한양행,KOSPI,Korea
000120,CJ대한통운,KOSPI,Korea
000140,하이트진로홀딩스,KOSPI,Korea
000150,두산,KOSPI,Korea
000180,성창기업지주,KOSPI,Korea
000210,DL,KOSPI,Korea
000220,유유제약,KOSPI,Korea
000230,일동홀딩스,KOSPI,Korea
000240,한국앤컴퍼니,KOSPI,Korea
000250,삼천당제약,KOSDAQ,Korea
000270,기아,KOSPI,Korea
000300,대유플러스,KOSPI,Korea
000320,노루홀딩스,KOSPI,Korea
000370,한화손해보험,KOSPI,Korea
000390,삼화페인트,KOSPI,Korea
000400,롯데손해보험,KOSPI,Korea
000430,대원강업,KOSPI,Korea
000440,중앙에너비스,KOSDAQ,Korea
000480,CR홀딩스,KOSPI,Korea
000490,대동,KOSPI,Korea
000500,가온전선,KOSPI,Korea
000520,삼일제약,KOSPI,Korea
000540,흥국화재,KOSPI,Korea
000590,CS홀딩스,KOSPI,Korea
000640,동아쏘시오홀딩스,KOSPI,Korea
000650,천일고속,KOSPI,Korea
000660,SK하이닉스,KOSPI,Korea
000670,영풍,KOSPI,Korea
000680,LS네트웍스,KOSPI,Korea
000700,유수홀딩스,KOSPI,Korea
000720,현대건설,KOSPI,Korea
000760,이화산업,KOSPI,Korea
000810,삼성화재,KOSPI,Korea
000850,화천기공,KOSPI,Korea
000860,강남제비스코,KOSPI,Korea
000880,한화,KOSPI,Korea
000890,보해양조,KOSPI,Korea
000910,유니온,KOSPI,Korea
000950,전방,KOSPI,Korea
000970,한국주철관,KOSPI,Korea
000990,DB하이텍,KOSPI,Korea
001000,신라섬유,KOSDAQ,Korea
001020,페이퍼코리아,KOSPI,Korea
001040,CJ,KOSPI,Korea
001060,JW중외제약,KOSPI,Korea
001070,대한방직,KOSPI,Korea
001080,만호제강,KOSPI,Korea
001120,LX인터내셔널,KOSPI,Korea
001130,대한제분,KOSPI,Korea
001140,국보,KOSPI,Korea
001200,유진투자증권,KOSPI,Korea
001210,금호전기,KOSPI,Korea
001230,동국홀딩스,KOSPI,Korea
001250,GS글로벌,KOSPI,Korea
001260,남광토건,KOSPI,Korea
001270,부국증권,KOSPI,Korea
001290,상상인증권,KOSPI,Korea
001340,백광산업,KOSPI,Korea
001360,삼성제약,KOSPI,Korea
001380,SG글로벌,KOSPI,Korea
001390,KG케미칼,KOSPI,Korea
001420,태원물산,KOSPI,Korea
001430,세아베스틸지주,KOSPI,Korea
001440,대한전선,KOSPI,Korea
001450,현대해상,KOSPI,Korea
001460,BYC,KOSPI,Korea
001470,삼부토건,KOSPI,Korea
001500,현대차증권,KOSPI,Korea
001510,SK증권,KOSPI,Korea
001520,동양,KOSPI,Korea
001530,DI동일,KOSPI,Korea
001540,안국약품,KOSDAQ,Korea
001550,조비,KOSPI,Korea
001560,제일연마,KOSPI,Korea
001570,금양,KOSPI,Korea
001620,케이비아이동국실업,KOSPI,Korea
001630,종근당홀딩스,KOSPI,Korea
001680,대상,KOSPI,Korea
001720,신영증권,KOSPI,Korea
001740,SK네트웍스,KOSPI,Korea
001750,한양증권,KOSPI,Korea
001770,SHD,KOSPI,Korea
001780,알루코,KOSPI,Korea
001790,대한제당,KOSPI,Korea
001800,오리온홀딩스,KOSPI,Korea
001810,무림SP,KOSDAQ,Korea
001820,삼화콘덴서,KOSPI,Korea
001840,이화공영,KOSDAQ,Korea
001940,KISCO홀딩스,KOSPI,Korea
002020,코오롱,KOSPI,Korea
002030,아세아,KOSPI,Korea
002070,비비안,KOSPI,Korea
002100,경농,KOSPI,Korea
002140,고려산업,KOSPI,Korea
002150,도화엔지니어링,KOSPI,Korea
002170,삼양통상,KOSPI,Korea
002200,한국수출포장,KOSPI,Korea
002210,동성제약,KOSPI,Korea
002220,한일철강,KOSPI,Korea
002230,피에스텍,KOSDAQ,Korea
002240,고려제강,KOSPI,Korea
002290,삼일기업공사,KOSDAQ,Korea
002310,아세아제지,KOSPI,Korea
002320,한진,KOSPI,Korea
002350,넥센타이어,KOSPI,Korea
