date,stock_code,price,amount,volume,per,eps
20240612,000080,20750,1455272428250,148519,41.5,500.0
20240612,000100,74300,5959533455200,724899,44.4377990430622,1672.0
20240612,000120,97400,2221922305600,132849,9.88431093971991,9854.0
20240612,000150,223000,3684815205000,222874,-12.29802018419456,-18133.0
20240612,000210,59200,1240588332800,87303,-10.04411265693926,-5894.0
20240612,000240,14780,1403142847200,163635,7.494929006085193,1972.0
20240612,000250,128800,3021322393600,755760,-290.744920993228,-443.0
20240612,000270,122500,48982656082500,970708,5.627009646302251,21770.0
20240612,000400,3610,1120314115200,1740067,3.713991769547325,972.0
20240612,000660,215000,156520508475000,2151331,-17.17663976991292,-12517.0
20240612,000720,32650,3635765727250,301248,6.84917138661632,4767.0
20240612,000810,334500,15846882976500,86340,9.301743555518478,35961.0
20240612,000880,26350,1975162667250,205482,6.780751415337107,3886.0
20240612,000990,42950,1906919354600,251624,7.237950792045837,5934.0
20240612,001040,130600,3810515938800,86782,23.91065543756866,5462.0
20240612,001120,29450,1141482000000,179633,9.748427672955975,3021.0
20240612,001440,15750,2936544975000,4315830,30.6420233463035,514.0
20240612,001450,32700,2923380000000,191304,4.809530813354905,6799.0
20240612,001570,90600,5259333352200,330869,-87.11538461538461,-1040.0
20240612,001720,72300,1188612000000,8880,8.332372939956207,8677.0
20240612,001740,4765,1054389203030,449848,-1588.333333333333,-3.0
20240612,002380,288000,2559303648000,28030,12.03459947348627,23931.0
20240612,002710,59400,1557093601800,339775,-200.6756756756757,-296.0
20240612,002790,36250,2989109025000,254601,29.16331456154465,1243.0
20240612,003230,607000,4572540105000,107489,36.21502296998986,16761.0
20240612,003410,7000,3106508062000,332560,16.01830663615561,437.0
20240612,003490,22250,8192909707250,635997,7.7445179255134,2873.0
20240612,003550,83000,13055982419000,270712,10.55040040676243,7867.0
20240612,003620,5500,1073782622000,178699,114.5833333333333,48.0
20240612,003670,280500,21728433210000,321117,756.0646900269542,371.0
20240612,003690,7920,1309710805920,292955,4.612696563774024,1717.0
20240612,004000,47200,1217760000000,54001,6.69029057406095,7055.0
20240612,004020,28900,3856583186500,533624,8.362268518518519,3456.0
20240612,004170,159900,1574244441900,42232,6.993221080253663,22865.0
20240612,004370,544000,3308957248000,54683,19.24846083079754,28262.0
20240612,004490,108900,1524600000000,54964,13.04504072831816,8348.0
20240612,004800,59600,1219793506400,17688,19866.66666666667,3.0
20240612,004990,25200,2643712772400,232764,-173.7931034482759,-145.0
20240612,005070,172200,5598352183200,229286,199.7679814385151,862.0
20240612,005180,108600,1069844772600,284043,12.40859232175503,8752.0
20240612,005290,42500,2185115995000,310636,17.16478190630048,2476.0
20240612,005300,136000,1261928224000,40030,8.242923813564458,16499.0
20240612,005380,270000,56542371570000,567334,6.194223313221226,43589.0
20240612,005385,159300,3802807688400,31915,,
20240612,005387,161000,5757261951000,49231,,
20240612,005420,32500,1248267410000,135960,-43.16069057104914,-753.0
20240612,005490,377000,31883353710000,249898,18.77583544997261,20079.0
20240612,005830,103000,7292400000000,86524,4.194494217299234,24556.0
20240612,005850,41600,1932258432000,1358012,5.759379759102866,7223.0
20240612,005930,76500,456688365075000,19246725,35.89863913655561,2131.0
20240612,005935,61700,50772109390000,1301467,,
20240612,005940,11930,3906983127070,221835,7.517328292375551,1587.0
20240612,006040,34450,1240954282750,28376,7.42937243907699,4637.0
20240612,006110,92300,1357909846800,129074,391.1016949152543,236.0
20240612,006260,143700,4627140000000,487582,10.61378240638156,13539.0
20240612,006280,118200,1381348791600,17785,-51.86485300570425,-2279.0
20240612,006360,14710,1258903717900,191021,-2.612324631504173,-5631.0
20240612,006400,393500,27058842555000,191642,13.78428556415735,28547.0
20240612,006650,155000,1007500000000,22963,-34.6911369740376,-4468.0
20240612,006800,7140,4250559153120,239624,16.6046511627907,430.0
20240612,007070,22100,2314266076200,153651,130.7692307692308,169.0
20240612,007310,487500,1953817125000,9637,12.18597675290589,40005.0
20240612,007660,48350,3057964358650,1188337,64.03973509933775,755.0
20240612,008730,40450,1003160000000,108544,-52.53246753246754,-770.0
20240612,008770,55900,2193969963900,148964,26.01209865053513,2149.0
20240612,008930,31100,2126977205000,78531,18.89428918590523,1646.0
20240612,009150,151200,11293686835200,296538,27.74311926605505,5450.0
20240612,009240,54200,1275538897600,30655,-20.5225293449451,-2641.0
20240612,009420,32800,1713492926400,356845,489.5522388059701,67.0
20240612,009540,133400,9441133674400,156537,42.57899776571976,3133.0
20240612,009830,33900,5827156970400,4165796,-28.94961571306576,-1171.0
20240612,009970,81300,1108573629600,16877,2.982172988041963,27262.0
20240612,010060,94900,1856621986700,41057,2.6347205641467,36019.0
20240612,010120,187400,5622000000000,520821,27.2978878368536,6865.0
20240612,010130,491000,10165311953000,19361,18.79066207424416,26130.0
20240612,010140,9140,8043200000000,6272659,-54.40476190476191,-168.0
20240612,010620,74300,2967701670700,264670,-20.75998882369377,-3579.0
20240612,010950,67000,7543047064000,116366,8.233992872065873,8137.0
20240612,011070,251000,5940443857000,1644960,10.51044763619614,23881.0
20240612,011170,120200,5141605363800,129512,-101.2636899747262,-1187.0
20240612,011200,17100,12124575381600,2488083,10.47794117647059,1632.0
20240612,011210,57200,1555558747600,56698,17.00862325304787,3363.0
20240612,011780,152900,4231152619100,61634,11.01585014409222,13880.0
20240612,011790,169600,6422463340800,603048,-23.30951072017592,-7276.0
20240612,012330,221000,20697775774000,105623,6.081452944413869,36340.0
20240612,012450,212000,10733560000000,278649,13.12937387750046,16147.0
20240612,012510,70100,2129833158400,461453,62.75738585496867,1117.0
20240612,012750,59400,2257151173200,99709,11.91335740072202,4986.0
20240612,014680,176000,1994994320000,104408,18.93694856896923,9294.0
20240612,014820,48950,1419123253900,126704,22.3006833712984,2195.0
20240612,015760,19830,12730147646910,1277670,-2.639776357827476,-7512.0
20240612,016360,36000,3214800000000,368698,5.872756933115824,6130.0
20240612,017670,51300,11018729718900,374966,10.26615969581749,4997.0
20240612,017800,41000,1602787785000,87690,5.104581673306773,8032.0
20240612,018260,154800,11978083440000,73553,17.2729301495202,8962.0
20240612,018290,35000,1252930245000,1648540,45.10309278350515,776.0
20240612,018670,173600,1602370358400,10611,5.066098578807599,34267.0
20240612,018880,4805,2564909000000,3433707,50.05208333333334,96.0
20240612,020150,56300,2596040010500,975597,-79.74504249291785,-706.0
20240612,021240,55500,4095878854500,77866,8.690886313811463,6386.0
20240612,022100,41050,6241025625450,1407722,67.9635761589404,604.0
20240612,023530,65200,1844426826000,47187,10.57583130575831,6165.0
20240612,024110,13380,10669558127220,724526,3.996415770609319,3348.0
20240612,026960,19650,1959105000000,72442,13.5237439779766,1453.0
20240612,028050,23000,4508000000000,583678,5.980239209568383,3846.0
20240612,028260,135500,24089746498500,250342,11.45974289580514,11824.0
20240612,028300,60600,7929229058400,1618488,-41.36518771331058,-1465.0
20240612,028670,4080,2181043608960,1610105,8.908296943231441,458.0
20240612,029780,38850,4501117915350,33982,7.385931558935361,5260.0
20240612,030000,18350,2111006478750,208002,11.27149877149877,1628.0
20240612,030200,36800,9274398008000,514967,9.467455621301776,3887.0
20240612,031980,77000,1660304415000,371991,38.88888888888889,1980.0
20240612,032640,9740,4252594656140,551674,6.830294530154278,1426.0
20240612,032830,84900,16980000000000,163854,8.958531180753402,9477.0
20240612,033100,68400,1098668775600,1147487,19.48717948717949,3510.0
20240612,033780,86500,11272895990500,126821,13.07634164777022,6615.0
20240612,034020,20000,12811222920000,13075043,229.8850574712644,87.0
20240612,034220,10350,5175000000000,1454474,-1.442106729831406,-7177.0
20240612,034230,13990,1283885005770,159753,20.51319648093842,682.0
20240612,034730,188300,13783245350700,669143,-17.94016768292683,-10496.0
20240612,035250,14630,3129949515000,694698,9.183929692404268,1593.0
20240612,035420,168400,27349607229600,977784,27.24919093851133,6180.0
20240612,035720,43050,19088166804000,1047526,-18.91476274165202,-2276.0
